Timestamp,Lane ID,Time of Day,Day of Week,Weather Condition,Lane Width (m),Road Type,Season/Month,Occasion/Event,Location,Traffic Density (Vehicles)
2022-10-18 15:28:20,2,2,3,3,10,3,1,1,4,1804
2021-05-13 16:41:32,2,5,7,3,15,2,1,1,0,1545
2023-08-17 09:06:58,3,4,4,5,15,3,4,0,1,1749
2020-10-28 18:25:34,1,2,1,5,20,1,1,3,3,1655
2023-02-09 17:23:46,2,4,2,5,15,2,3,3,0,2030
2023-04-22 21:25:10,1,5,1,5,30,2,4,1,4,1498
2021-11-09 10:15:20,2,5,1,4,25,1,3,2,1,1404
2023-03-04 03:25:30,1,4,7,4,25,2,2,3,1,1950
2021-03-02 02:00:34,3,1,2,2,20,3,3,3,5,1068
2022-05-01 22:57:06,1,3,3,4,30,1,2,0,5,1025
2020-10-30 21:24:36,4,3,1,3,15,2,1,0,1,1196
2022-07-06 14:15:23,4,3,4,1,25,3,4,1,4,1141
2022-04-03 11:40:57,1,5,2,1,30,2,3,0,3,1184
2020-08-11 15:34:00,2,5,1,1,20,3,3,1,4,1524
2023-03-10 09:52:14,4,3,3,4,25,1,3,2,0,1698
2021-04-28 15:08:53,4,2,2,3,20,2,2,1,6,1750
2024-04-21 21:57:17,2,2,2,2,25,3,1,2,1,1778
2024-08-06 21:02:06,3,5,1,1,25,2,3,0,1,1103
2024-08-20 10:38:11,4,2,2,2,15,2,4,0,1,1488
2022-11-01 11:32:58,1,1,1,5,30,1,1,0,2,1150
2023-11-26 05:21:54,1,1,4,1,20,1,1,3,5,1102
2023-10-23 01:05:26,4,1,4,3,10,2,2,2,1,1343
2023-10-06 06:05:02,4,5,5,3,20,2,2,3,3,1544
2020-11-29 20:54:53,3,2,4,1,15,2,2,2,2,1695
2024-08-20 22:40:10,1,1,6,3,10,3,1,0,0,1132
2022-06-25 02:18:47,4,1,3,2,25,3,2,1,4,1310
2024-01-18 23:01:21,2,2,1,4,10,1,1,2,5,1643
2023-05-21 08:43:38,4,2,5,1,10,3,4,1,2,1423
2024-08-01 18:18:56,2,1,6,3,25,2,3,3,0,1316
2020-12-01 10:31:28,3,3,7,4,10,1,1,2,3,1231
2024-08-24 07:27:15,1,2,7,3,15,1,3,1,0,1404
2020-02-14 15:15:39,3,2,1,1,10,2,3,1,5,1457
2021-04-25 09:44:51,2,4,7,3,20,2,4,1,1,1998
2023-07-07 10:35:48,4,5,2,1,15,2,4,0,4,1008
2020-09-18 12:08:36,1,4,1,4,20,1,4,0,5,1759
2021-12-20 01:52:38,4,4,7,5,15,1,4,0,3,1742
2021-06-22 01:41:25,1,5,7,3,20,2,2,2,0,1677
2021-08-01 00:35:55,4,2,5,4,30,1,1,2,6,1640
2021-08-19 05:57:18,1,2,2,1,25,3,1,0,3,1562
2023-11-17 02:12:16,2,4,6,2,25,1,3,2,0,1794
2022-07-25 14:50:25,2,2,6,3,30,1,1,0,3,1600
2022-02-20 13:32:30,4,4,2,4,25,1,1,3,5,1738
2023-03-18 12:45:49,1,2,3,2,25,2,4,3,4,1702
2020-11-26 22:02:48,2,4,6,5,15,3,2,0,3,1754
2024-02-06 20:27:53,1,1,3,2,25,1,4,2,6,1050
2024-02-11 17:08:30,1,3,3,4,15,3,1,2,1,1293
2023-04-01 09:07:01,1,1,6,5,10,3,4,0,4,1184
2021-09-23 11:55:14,1,1,6,5,25,3,1,2,0,1239
2023-04-04 20:12:47,2,4,4,3,25,2,3,2,1,2032
2021-09-28 14:34:55,3,4,5,5,10,1,2,0,1,1464
2023-05-20 11:11:39,1,3,1,4,20,2,1,2,6,1348
